Title,MRP,Discount_price,Discount in percentage
HOMETALES Plastic Wavy Tumblers Pack of 6  Multicolor  350ml Each,499,209,
Treo By Milton Crystal On The Rocks Set of 7 Pieces (1 - Ice Pail; 6 - Tumbler  295 ml Each)  Glass  Transparent | Glass Ice Bucket | Wine | Home | Restaurants | Easy To Clean,"1,150",874,
LEROYAL Stainless Steel 300 ml Glasses set of 6 ,999,419,
Somil Glass Drinking Glass  Transparent  Pack Of 6  300 ml,"1,647",449,
A & H ENTERPRISES - Brass Glasses 250 ml ( Pack of 1 ),599,359,
HOMETALES German Silver Plated Gift bowl Tray set,"1,000",299,
Stainless Steel Elegant Yellow cake stand,"1,035",599,
A M E  (7 Pcs ) Wooden Serving Spoon Sheesam Wood,499,169,
HOMETALES German Silver Plated Gift Bowl & Tray Set,799,299,
HOMETALES Silver Plated Mini Duck Tray With Spoon,999,579,
HOMETALES Stainless Steel Serving Handi Set Of 2  (1000Ml  1500Ml),"1,299",599,
HOMETALES Melamine Printed Serving Tray Medium  Multicolor (2U),"1,499",349,
Dynore - Silver Serving Bucket ( Pack of 1 ),500,249,
HOMETALES - Serving Tray Silver Serving Tray ( Set of 1 ),999,289,
HomePro - Multicolor Serving Bowl ( Set of 2 ),"1,198",519,
HOMETALES German Silver Plated Bowl & Tray Set,"1,000",339,
Dynore - Copper Serving Bucket ( Set of 2 ),999,599,
Dynore Stainles s Steel Tray For 6 Cups,570,219,
HOMETALES Silver Plated 3 Kamal Bowl With Spoon With Tray,"3,999",795,
A & H ENTERPRISES Set of 2 Pc Laser Design Serving Bowls With Lid ( Dongas ) - Stainless Steel,799,519,
HOMETALES German Silver Plated Gift Bowl Set of 2U with Spoons,"1,500",319,
HOMETALES - Multicolor Serving Tray ( Set of 2 ),"1,299",629,
A & H ENTERPRISES - Silver Serving Bowl ( Pack of 6 ),"1,099",799,
HomePro - Blue Floral Design Tray Multicolor Serving Tray ( Set of 1 ),498,269,
Kitchen Krafts 6 pcs cookware set Stainless Steel Dinner Set of 6 Pieces,"1,199",469,
KC Wooden Cooking Spatula & Serving Spoon Non-Stick Kitchen Utility Set of 7 Large and Sturdy,499,189,
Analog kitchenware - Silver Stainless Steel Tea Spoon ( Pack of 12 ),"1,299",279,
Dynore - Silver Stainless Steel Soda Spoon ( Pack of 6 ),599,179,
Analog Kitchenware - Silver Stainless Steel 24 Pcs Cutlery Set With Stand,"1,499",419,
HOMETALES Stainless Steel Cutlery Set of 18 (6 Tea Spoon  6 Baby Spoon and 6 Baby Fork),799,299,
HOMETALES - Steel Stainless Steel Ice Cream Spoon ( Pack of 6 ),999,229,
A & H ENTERPRISES - Brass Brass Serving Spoon ( Pack of 3 ),"1,599",825,
Divyamole 12 Pcs Stainless Steel Baby Spoon,999,179,
HOMETALES - Silver Stainless Steel Soda Spoon ( Pack of 2 ),999,179,
A & H ENTERPRISES - Brass Brass Table Spoon ( Pack of 4 ),799,329,
Analog kitchenware - Silver Stainless Steel Tea Spoon ( Pack of 6 ),999,159,
A & H ENTERPRISES - Brass Brass Serving Spoon ( Pack of 2 ),"1,299",625,
Mosaic Omega Silver Soup Spoon Set Of 12,679,299,
HOMETALES - Silver Stainless Steel Cutlery Set ( Pack of 24 ),"1,499",639,
LEROYAL - Silver Stainless Steel Ice Cream Spoon ( Pack of 6 ),599,169,
HOMETALES Stainless Steel Serving Tools Set of 4 (1 Skimmer  1 Ladle  1 Serving Spoon & 1 Turner),599,289,
Analog kitchenware - Silver Stainless Steel Cutlery Set 24 Pcs,"1,299",419,
ADITYA PRODUCT 1 Pcs Stainless Steel Cutlery Holder,699,169,
HOMETALES - Stainless Steel Cutlery Set of 18 ( 6U Dinner Spoon  6U Baby Fork  6U Baby Spoon )  1.8mm Thickness,999,229,
ZMS MARKETING 12 Pcs Stainless Steel Fruit Fork,499,209,
"	LEROYAL-5 Pcs Copper Bottom Serving Handi Set (500ml   750ml  1000ml  1350ml & 1900ml)",999,569,
Dynore - Butter Dish Stainless Steel Casserole Bowl 250 mL ( Set of 2 ),699,329,
HOMETALES Stainless Steel Dessert Bowl With Spoon  150ml each  (Pack of 12),"1,299",529,
A & H ENTERPRISES - Big Bowl / Katori /Sabzi Bowl Brass Cereal Bowl 300 mL ( Set of 2 ),"1,099",625,
A & H ENTERPRISES 8 Pcs Stainless Steel Cereal Bowl 200 mL,899,625,
Dynore - Sauce Cup 75 ml Stainless Steel Chip&Dip Bowl 75 mL ( Set of 12 ),449,179,
A & H ENTERPRISES 6 Pcs Stainless Steel Cereal Bowl 180 mL,799,439,
HOMETALES Stainless Steel Veg Bowl / Sada Vati  300ml per Unit  Pack of 4 (Heavy 22 gauze),899,259,
Inpro - Snacks Melamine Bowls Melamine Snacks Bowl 150 mL ( Set of 12 ),999,489,
A & H ENTERPRISES - Sweet Dish Bowl /  Halwa Plate Brass Decorative Bowl 100 mL ( Set of 3 ),"1,299",675,
Inpro - Snacks Plastic Bowls Plastic Bowl Set 150 mL ( Set of 12 ),999,279,
Ashu - Stainless Steel Bowl Set 1600 mL ( Set of 3 ),999,359,
A & H ENTERPRISES - Sweet Dish Bowl / Halwa Bowl Brass Dessert Bowl 100 mL ( Set of 1 ),599,239,
Inpro - Snacks Melamine Bowls Melamine Snacks Bowl 150 mL ( Set of 6 ),699,299,
Somil - Serving And Designer Bowl Glass Serving Bowl 100 mL ( Set of 1 ),"2,728",725,
HOMETALES 5 Pcs Copper Bottom Serving Handi Set (500ml   750ml  1000ml  1350ml & 1900ml),"1,299",589,
Ashu - Stainless Steel Storage Bowl 1600 mL ( Set of 3 ),999,399,
Treo By Milton 1000 Handcrafted Designer Bowl  870 ml  Bloom | Microwave Safe | Oven Safe | Dishwasher Safe | Freezer Safe | Food Grade | Serving | Salad,290,202,
A & H ENTERPRISES - ICE CREAM CUP /Sweet Dish Bowl Steel Pudding Bowl 180 mL ( Set of 2 ),"1,699",625,
HOMETALES Melamine Printed Serving Bowl 220 ml Multicolor (6U),899,349,
HOMETALES Stainless Steel 2 in 1 Partition Plate  22cm Length per unit  (Pack of 6),"1,099",409,
LEROYAL 6 Pcs Stainless Steel Silver Dessert Plate,799,259,
HOMETALES Stainless Steel Dessert Plate  11cm Dia per unit  (Pack of 6),999,299,
ZMS MARKETING 6 Pcs Stainless Steel Steel Rice Plate,999,749,
Inpro 12 Pcs Plastic Black Quarter Plate,999,349,
Dynore 6 Pcs Stainless Steel Quarter Plate,700,329,
HOMETALES Stainless Steel 12 Inches N. P Khumcha Plate With Laser Etching  Pack Of 4  Heavy 22 Gauze,"1,499",589,
HOMETALES Stainless Steel Halwa Plate with Laser Design  24 gauze (4U),799,389,
HOMETALES Stainless Steel 3 in 1 Square Pav Bhaaji Partition plate  Pack of (4U),"1,099",529,
A & H ENTERPRISES 1 Pcs Brass Brass Full Plate,"1,699",699,
Inpro 6 Pcs Melamine Black Quarter Plate,699,349,
A & H ENTERPRISES 1 Pcs Brass Brass Quarter Plate,"1,499",499,
Inpro 12 Pcs Melamine Multi Color Half Plate,"1,399",575,
Dynamic Store 6 Pcs Stainless Steel Silver Partition Plate,999,399,
HOMETALES Stainless Steel 12 Inches N. P Khumcha Plate With Laser Etching Pack Of 2  Heavy 22 Gauze,899,319,
HOMETALES Melamine Printed Leaf Design Quarter Plate White (6U),"1,399",539,
Inpro 6 Pcs Plastic Black Platter,999,289,
HOMETALES 2 Pcs Melamine Black Platter,899,429,
HOMETALES Stainless Steel 8 Inches China Plate With Laser Etching Pack Of 4  Heavy Gauze,999,399,
Home Lane 1 Pcs Acrylic Silver Tray,"1,999",729,
SR ESSENTIAL CAKE MOULDS. Aluminium Cake tin 200 mL,999,229,
12pcs Steel Cake Icing Piping Decorating Nozzles Tips Baking Tool,599,149,
SR 3 PCS HEART SHAPE CAKE MOULDS. Aluminium Cake tin 1500 mL,999,309,
ZMS MARKETING Steel Cake tin 200 mL,599,169,
erum Aluminium Cake tin 1000 mL,699,279,
SR 2 PCS CAKE MOULDS. Aluminium Cake tin 1000 mL,999,309,
Smile4u Carbon Steel Bread tin 600 mL,659,249,
Malik Aluminium Cake tin 300 mL,699,259,
HACKURS Silicone Chocolate moulds 20 mL,299,179,
SHAYAMA ENT Aluminium Cake tin 300 mL,599,289,
Vardhman Silicone Chocolate moulds 15,490,259,
Falaks Silicone Chocolate moulds 15 mL,700,449,
HIRU Aluminium Muffin Moulds 20 mL,499,249,
purple dust Plastic Sweet Moulds 100 mL,599,129,
Vardhman Rubber Chocolate moulds 35,350,259,
LEROYAL Aluminium Cake tin 1000 mL,999,279,
Creativities International Green Non-stick Coating Gumpaste Flower Making Wires,400,299,
Vardhman Aluminium Cup Cake Moulds 20 mL,500,439,
Craftial curve Silicone Cup Cake Moulds 60 mL,"1,500",469,
PRANSUNITA Silicone Chocolate moulds 15 mL,390,259,
2KS™ Non Stick Reusable Silicon Roti Chapati Rolling Baking Sheet Mat Silicon Baking tool,599,199,
ZURU BUNCH Silver Steel Baking Moulds,599,219,
Home Cloud Silicon Reusable Pastry Fondant Dough roti chapati Rolling Baking Sheet mat ,899,199,
ME Silicon Baking Moulds,599,279,
ZURU BUNCH White Plastic Baking Decoration,599,209,
Dynore Steel Steel Baking tool,750,269,
TAG3 Multicolour Plastic Baking Measuring 5 Cups Set,999,279,
Plastic Cake Plate Turntables DIY Pan Baking Tool Rotating Anti-skid Round Cake Stand Cake Decorating Rotary Table,499,319,
2KS™ Non Stick Reusable Silicon Roti Chapati Rolling Baking Sheet Mat Silicon Baking tool,599,189,
YUTIRITI Plastic Baking Decoration,484,189,
YESKART Assorted Cotton Baking Disposable,999,259,
EIGHTEEN ENTERPRISE Silicon Baking tool,499,269,
PINDIA Silicon Baking tool,782,269,
Gayatri Steel Baking Decoration 12 Pcs,399,167,
Kurtzy 100 Medium Plastic Disposable Icing Piping Pastry Bags,550,419,
Dynore Steel Steel Baking tool,800,389,
Noor Cake Decoration Icing Bag (30 Cm) With Nozzles - Set Of 10 Pcs,650,549,
Siya Multi Color Plastic Baking Moulds,"1,299",179,
Kurtzy 100 Large Plastic Disposable Icing Piping Pastry Bags,890,319,
ME Silicon Baking Moulds,599,279,
KC - Silver Steel Tea Cup ( Pack of 6 ),699,309,
bartan hub - Steel Single Walled Tea Cup 150 ml ( Pack of 6 ),999,299,
HOMETALES Insulated Double Walled Tea Cup  Inner Stainless Steel & Outer Plastic body  180 ml each ( Pack of 2 ),699,279,
HOMETALES - Steel Double Walled Tea Cup 210 ml ( Pack of 2 ),899,329,
Dynore - Steel Double Walled Tea Set 90 ml ( Pack of 4 ),"1,000",279,
LEROYAL - Steel Self Stirring Tea Cup 150 ml ( Pack of 6 ),999,329,
HOMETALES Stainless Steel Double Walled Tea Cup  90ml per Unit (6U),999,539,
VM OM SAI STEEL LIFETIME - Steel Double Walled Coffee Cup 100 ml ( Pack of 6 ),999,469,
Treo Ceramic Mug - Set of 6  Aqua Green  240ml,"1,050",711,
kk crosi - Ceramic Single Walled Coffee Cup 300 ml ( Pack of 1 ),"1,999",649,
ZMS MARKETING Steel Stainless Steel Cups Tea Cup 18 Pcs 100 ml,999,539,
Dynore Steel 4 apple cup Coffee Cup 4 Pcs 90 ml each ml,875,299,
PIQUANT KITCHENWARE Steel Tea & Coffee Cup Double Walled Tea Cup 6 Pcs 90 ml,"1,299",439,
HOMETALES - Steel Double Walled Tea Cup 90 ml ( Pack of 2 ),899,345,
VM OM SAI STEEL LIFETIME - Steel Double Walled Tea Cup 100 ml ( Pack of 6 ),999,449,
HOMETALES - Steel Double Walled Tea Cup 90 ml ( Pack of 6 ),"1,199",615,
SR STAINLESS STEEL 6 PCS SPOONS AND 6 PCS TEA CUPS.COMBO PACK OF 12 PCS. - Silver Steel Tea Cup ( Pack of 6 ),"1,200",319,
Dynore Steel Coffee Cup 4 Pcs ml,"1,200",419,
HOMETALES - Steel Double Walled Tea Cup 100 ml ( Pack of 6 ),"1,099",279,
Mosaic Trendy Stainless Steel Zodiac Sign Virgo Mug,450,339,
Treo Ceramic Mug - Set of 6  Aqua Green  240ml,"1,050",711,
HOMETALES - Blue Pastel Premium Ceramic Milk And Coffee Mug  330ml each  (Pack of 2),699,349,
HOMETALES - Pink Triple shaded Ceramic Tea Cup  Pink colour  130ml each (Pack of 6),899,469,
HOMETALES Insulated Double Walled Tea Cup  Inner Stainless Steel & Outer Plastic body  180 ml each ( Pack of 2 ),699,279,
bartan hub - Steel Single Walled Tea Cup 150 ml ( Pack of 6 ),999,299,
Dynore Steel 4 apple cup Coffee Cup 4 Pcs 90 ml each ml,875,299,
HOMETALES Stainless Steel Double Walled Coffee Mug  150ml each (2U),599,359,
HOMETALES - Coffee Steel Travel Mug ( Pack of 2 ),999,295,
Idream Quote Printed Ceramic Coffee Mug 1 Pcs 330 mL,499,239,
Somil Glass Tea Cup  Transparent  Pack Of 6  100 ml,"2,800",725,
KC - Silver Steel Tea Cup ( Pack of 6 ),699,309,
TREO Ceramic Glare Mug - Set of 2  Purple  240ml,375,244,
Treo By Milton Cascade Cool Mug Set of 2  292 ml,175,175,
Somil Glass Tea Cup  Transparent  Pack Of 6  80 ml,"2,543",649,
HOMETALES - Terra-cotta finish Kulhad Tea Cup  180ml each (Pack of 6),699,399,
OFFYX - Purple Steel Coffee Mug ( Pack of 2 ),"1,199",329,
Dynore - Steel Double Walled Tea Set 90 ml ( Pack of 4 ),"1,000",279,
Mosaic Zodaic Mug Aquarius Steel Coffee Mug 1 Pcs 200 mL,450,339,
HOMETALES - Yellow Smiley Ceramic Tea Cup  130ml each (Pack of 6),899,479,
KraftMania Ceramic Tea Cup 12 Pcs,"1,399",799,
HOMETALES Stainless Steel Tea Kettle  800ml,999,473,
Milton Bistro 600 Thermosteel Carafe  490 ml  Blue,"1,090",829,
Dynore Tea/Coffee Kettle Steel Kettle 800 ml,"1,999",699,
Milton Thermosteel Carafe 24 Hours Hot or Cold Tea/Coffee Pot  1000 ml  Silver,"1,635","1,243",
Pexpo 600ml 24 Hrs Hot and Cold Carafe  Cosmo Vacuum Insulated Tea/Coffe Kattle (Pack of 1  Silver),"1,249",809,
Milton Bistro 600 Thermosteel Carafe  490 ml  Brown,"1,090",829,
Milton Bistro 800 Thermosteel Carafe  780 ml  Black,"1,210",920,
Milton Bistro 800 Thermosteel Carafe  780 ml  Brown,"1,210",920,
Milton Bistro 800 Thermosteel Carafe  780 ml  Blue,"1,210",920,
Pexpo 1000ml 24 Hrs Hot and Cold Carafe  Cosmo Vacuum Insulated Tea/Coffe Kattle (Pack of 1  Blue),"1,499",975,
Treo By Milton Borosilicate Carafe Slant  500 ml | Microwave Safe | Flame Safe | Food Safe | Light Weight | Tea Carafe | Water Carafe,425,425,
Milton Thermosteel Carafe 24 Hours Hot or Cold Tea/Coffee Pot  2000 ml  Silver,"2,240","1,702",
Milton Bistro 600 Thermosteel Carafe  490 ml  Black,"1,090",829,
Pexpo 2000ml 24 Hrs Hot and Cold Carafe  Cosmo Vacuum Insulated Tea/Coffe Kattle (Pack of 1  Red),"1,999","1,299",
Milton Thermosteel Carafe 24 Hours Hot or Cold Tea/Coffee Pot  1500 ml  Silver,"1,910","1,452",
Milton Carafe 600 Thermosteel Hot or Cold Flask  600 ml  Silver,"1,305",992,
Pexpo 2000ml 24 Hrs Hot and Cold Carafe  Cosmo Vacuum Insulated Tea/Coffe Kattle (Pack of 1  Blue),"1,999","1,299",
Pexpo 1500ml 24 Hrs Hot and Cold Carafe  Cosmo Vacuum Insulated Tea/Coffe Kattle (Pack of 1  Blue),"1,749","1,135",
Pexpo 1000ml 24 Hrs Hot and Cold Carafe  Cosmo Vacuum Insulated Tea/Coffe Kattle (Pack of 1  Red),"1,499",975,
Pexpo 600ml 24 Hrs Hot and Cold Carafe  Cosmo Vacuum Insulated Tea/Coffe Kattle (Pack of 1  Blue),"1,249",809,
